domain,kingdom,phylum,subphylum,class,subclass,ord,subord,family,subfamily,tribe,genus,species,subspecies,taxon_level,taxon_name,taxon_number,AS1,AS2,AS3,AS4,BS1,BS2,BS3,BS4,BS5,DM1,DM2,FD1,FD2,FD3,FD4,FD5,FD6,FD7,FD8,FG1,FG2,FG3,FG4,FG5,FG6,RE1,RE2,RE3,RE4,RE5,RE6,RE7,RE8,RF1,RF2,RF3,RF4,LO1,LO2,LO3,LO4,LO5,LO6,LO7,RM1,RM2,RM3,RM4,RM5,MD1,MD2,MD3,MD4,MD5,MD6,MD7,MD8,CP1,CP2,CP3,BF1,BF2,BF3,BF4
Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Neoptera,Diptera,Nematocera,Culicidae,Anophelinae,NA,Anopheles,NA,NA,genus,Anopheles,13,3,3,3,0,0,3,0,0,0,2,3,3,1,0,3,0,0,0,0,1,0,0,3,0,0,0,3,1,0,0,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,2,3,0,0,0,3,0
Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Neoptera,Diptera,Brachycera,Tabanidae,Tabaninae,NA,Stibasoma,NA,NA,genus,Stibasoma,13,1,2,0,0,0,0,0,3,0,0,3,0,1,1,0,0,0,0,3,1,0,0,0,3,0,0,0,0,3,0,0,2,0,0,0,1,3,0,1,0,3,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,2,0,0,3,0
Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Neoptera,Diptera,Nematocera,Chironomidae,Chironominae,NA,Stenochironomus,NA,NA,genus,Stenochironomus,13,3,3,3,0,0,0,3,0,0,3,1,0,0,3,0,3,0,0,0,0,0,3,0,0,0,0,0,0,2,2,0,0,0,1,0,1,2,0,0,0,0,0,3,0,3,1,0,0,0,3,0,0,0,0,0,0,0,3,1,0,0,0,3,0
Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Neoptera,Diptera,Brachycera,Drosophilidae,NA,NA,NA,NA,NA,family,Drosophilidae,9,1,1,0,0,3,0,0,0,0,0,3,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0,0,2,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3
Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Neoptera,Diptera,Schizophora,NA,NA,NA,NA,NA,NA,subord,Schizophora,9,2,2,1,0,1,1,2,0,0,1,3,1,1,1,3,1,1,0,1,3,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,3
Eukaryota,Animalia,Annelida,NA,Clitellata,Oligochaeta,NA,NA,NA,NA,NA,NA,NA,NA,subclass,Oligochaeta_Naididae_and_Enchytraeidae,6,3,3,0,3,1,0,1,2,1,3,0,1,2,1,1,0,0,0,0,3,0,1,0,0,0,0,1,1,2,0,0,0,3,0,2,0,2,0,0,2,2,2,2,0,3,2,0,0,0,2,0,1,0,0,0,0,0,3,1,0,0,0,3,0
Eukaryota,Animalia,Arthropoda,Hexapoda,Insecta,Neoptera,Diptera,Brachycera,Muscidae,NA,NA,NA,NA,NA,family,Muscidae,9,0,2,1,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,3,0,1,0,1,1,0,0,3,0,0,0,0,3,0,0,0,4,1,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0
Eukaryota,Animalia,Annelida,NA,Clitellata,Oligochaeta,Haplotaxida,Lumbricina,Lumbricidae,NA,NA,NA,NA,NA,family,Lumbricidae,9,3,3,0,3,0,0,0,0,3,3,0,3,3,2,0,0,1,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,3,0,3,0,0,0,0,0,2,3,1,0,3,0,0,0,0,0,0,3,0,0,0,0,0,3,1,0,0,0,3,0
